Seed set to: 0 (type: <class 'int'>)
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages/torchmetrics/functional/image/lpips.py:326: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  self.load_state_dict(torch.load(model_path, map_location="cpu"), strict=False)
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages/torchmetrics/functional/image/lpips.py:326: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  self.load_state_dict(torch.load(model_path, map_location="cpu"), strict=False)
Loading Dataset ...
System Paths:
/home/chahyon/jaxsplatam/third_party/splatam/SplaTAM
/home/chahyon/jaxsplatam/scripts
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python312.zip
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/lib-dynload
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages
/home/chahyon/jaxsplatam/third_party/splatam
/home/chahyon/jaxsplatam/third_party/gsplat
/home/chahyon/jaxsplatam
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages/setuptools/_vendor
/tmp/tmp_668se6s
/home/chahyon/jaxsplatam/third_party/splatam/SplaTAM/datasets/gradslam_datasets/tum.py:46: UserWarning: Input line 1 contained no data and will not be counted towards `max_rows=50000`.  This differs from the behaviour in NumPy <=1.22 which counted lines rather than rows.  If desired, the previous behaviour can be achieved by using `itertools.islice`.
Please see the 1.23 release notes for an example on how to do this.  If you wish to ignore this warning, use `warnings.filterwarnings`.  This warning is expected to be removed in the future and is given only once per `loadtxt` call.
  data = np.loadtxt(filepath, delimiter=' ',
/home/chahyon/jaxsplatam/third_party/splatam/SplaTAM/datasets/gradslam_datasets/tum.py:46: UserWarning: Input line 2 contained no data and will not be counted towards `max_rows=50000`.  This differs from the behaviour in NumPy <=1.22 which counted lines rather than rows.  If desired, the previous behaviour can be achieved by using `itertools.islice`.
Please see the 1.23 release notes for an example on how to do this.  If you wish to ignore this warning, use `warnings.filterwarnings`.  This warning is expected to be removed in the future and is given only once per `loadtxt` call.
  data = np.loadtxt(filepath, delimiter=' ',
/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages/torch/_inductor/compile_fx.py:150: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(

  0%|          | 0/592 [00:00<?, ?it/s]
  0%|          | 0/592 [00:00<?, ?it/s, num_gaussians: 255190 | tracking_loss: 0.0000 | mapping_loss: 0.0000]/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages/torch/_dynamo/variables/functions.py:663: UserWarning: Graph break due to unsupported builtin fused_ssim_cuda.PyCapsule.fusedssim. This function is either a Python builtin (e.g. _warnings.warn) or a third-party C/C++ Python extension (perhaps created with pybind). If it is a Python builtin, please file an issue on GitHub so the PyTorch team can add support for it and see the next case for a workaround. If it is a third-party C/C++ Python extension, please either wrap it into a PyTorch-understood custom operator (see https://pytorch.org/tutorials/advanced/custom_ops_landing_page.html for more details) or, if it is traceable, use torch.compiler.allow_in_graph.
  torch._dynamo.utils.warn_once(msg)

  0%|          | 1/592 [00:03<36:07,  3.67s/it, num_gaussians: 255190 | tracking_loss: 0.0000 | mapping_loss: 0.0000]
  0%|          | 1/592 [00:03<36:07,  3.67s/it, num_gaussians: 255190 | tracking_loss: 0.0000 | mapping_loss: 0.0465]
  0%|          | 2/592 [00:04<20:49,  2.12s/it, num_gaussians: 255190 | tracking_loss: 0.0000 | mapping_loss: 0.0465]
  0%|          | 2/592 [00:04<20:49,  2.12s/it, num_gaussians: 266463 | tracking_loss: 3152.2053 | mapping_loss: 0.0570]
  1%|          | 3/592 [00:05<13:21,  1.36s/it, num_gaussians: 266463 | tracking_loss: 3152.2053 | mapping_loss: 0.0570]
  1%|          | 3/592 [00:05<13:21,  1.36s/it, num_gaussians: 271813 | tracking_loss: 3727.9443 | mapping_loss: 0.0375]
  1%|          | 4/592 [00:05<09:54,  1.01s/it, num_gaussians: 271813 | tracking_loss: 3727.9443 | mapping_loss: 0.0375]
  1%|          | 4/592 [00:05<09:54,  1.01s/it, num_gaussians: 275338 | tracking_loss: 3924.4795 | mapping_loss: 0.0341]
  1%|          | 5/592 [00:06<07:58,  1.23it/s, num_gaussians: 275338 | tracking_loss: 3924.4795 | mapping_loss: 0.0341]
  1%|          | 5/592 [00:06<07:58,  1.23it/s, num_gaussians: 280301 | tracking_loss: 3860.2773 | mapping_loss: 0.0282]/home/chahyon/mambaforge/envs/jaxsplatam/lib/python3.12/site-packages/torch/_dynamo/variables/functions.py:663: UserWarning: Graph break due to unsupported builtin gsplat.csrc.PyCapsule.fully_fused_projection_packed_fwd. This function is either a Python builtin (e.g. _warnings.warn) or a third-party C/C++ Python extension (perhaps created with pybind). If it is a Python builtin, please file an issue on GitHub so the PyTorch team can add support for it and see the next case for a workaround. If it is a third-party C/C++ Python extension, please either wrap it into a PyTorch-understood custom operator (see https://pytorch.org/tutorials/advanced/custom_ops_landing_page.html for more details) or, if it is traceable, use torch.compiler.allow_in_graph.
  torch._dynamo.utils.warn_once(msg)

  1%|          | 6/592 [00:07<08:23,  1.16it/s, num_gaussians: 280301 | tracking_loss: 3860.2773 | mapping_loss: 0.0282]
  1%|          | 6/592 [00:07<08:23,  1.16it/s, num_gaussians: 286612 | tracking_loss: 4314.2500 | mapping_loss: 0.0443]
  1%|          | 7/592 [00:07<08:04,  1.21it/s, num_gaussians: 286612 | tracking_loss: 4314.2500 | mapping_loss: 0.0443]
  1%|          | 7/592 [00:07<08:04,  1.21it/s, num_gaussians: 291821 | tracking_loss: 4110.5190 | mapping_loss: 0.0340]
  1%|▏         | 8/592 [00:08<07:12,  1.35it/s, num_gaussians: 291821 | tracking_loss: 4110.5190 | mapping_loss: 0.0340]
  1%|▏         | 8/592 [00:08<07:12,  1.35it/s, num_gaussians: 296899 | tracking_loss: 4151.1162 | mapping_loss: 0.0295]
  2%|▏         | 9/592 [00:08<06:36,  1.47it/s, num_gaussians: 296899 | tracking_loss: 4151.1162 | mapping_loss: 0.0295]
  2%|▏         | 9/592 [00:08<06:36,  1.47it/s, num_gaussians: 302976 | tracking_loss: 5069.1348 | mapping_loss: 0.0229]
  2%|▏         | 10/592 [00:09<06:14,  1.56it/s, num_gaussians: 302976 | tracking_loss: 5069.1348 | mapping_loss: 0.0229]
  2%|▏         | 10/592 [00:09<06:14,  1.56it/s, num_gaussians: 308201 | tracking_loss: 6328.4785 | mapping_loss: 0.0203]
  2%|▏         | 11/592 [00:10<06:33,  1.48it/s, num_gaussians: 308201 | tracking_loss: 6328.4785 | mapping_loss: 0.0203]
  2%|▏         | 11/592 [00:10<06:33,  1.48it/s, num_gaussians: 313624 | tracking_loss: 7190.2974 | mapping_loss: 0.0269]
  2%|▏         | 12/592 [00:10<06:14,  1.55it/s, num_gaussians: 313624 | tracking_loss: 7190.2974 | mapping_loss: 0.0269]
  2%|▏         | 12/592 [00:10<06:14,  1.55it/s, num_gaussians: 318219 | tracking_loss: 5479.9990 | mapping_loss: 0.0687]
  2%|▏         | 13/592 [00:11<06:02,  1.60it/s, num_gaussians: 318219 | tracking_loss: 5479.9990 | mapping_loss: 0.0687]
  2%|▏         | 13/592 [00:11<06:02,  1.60it/s, num_gaussians: 321839 | tracking_loss: 6443.5010 | mapping_loss: 0.0246]
  2%|▏         | 14/592 [00:11<05:44,  1.68it/s, num_gaussians: 321839 | tracking_loss: 6443.5010 | mapping_loss: 0.0246]
  2%|▏         | 14/592 [00:11<05:44,  1.68it/s, num_gaussians: 329109 | tracking_loss: 8057.0942 | mapping_loss: 0.0280]
  3%|▎         | 15/592 [00:12<05:35,  1.72it/s, num_gaussians: 329109 | tracking_loss: 8057.0942 | mapping_loss: 0.0280]
  3%|▎         | 15/592 [00:12<05:35,  1.72it/s, num_gaussians: 338197 | tracking_loss: 7487.9663 | mapping_loss: 0.0213]
  3%|▎         | 16/592 [00:13<05:29,  1.75it/s, num_gaussians: 338197 | tracking_loss: 7487.9663 | mapping_loss: 0.0213]
  3%|▎         | 16/592 [00:13<05:29,  1.75it/s, num_gaussians: 344052 | tracking_loss: 8000.1104 | mapping_loss: 0.0210]
  3%|▎         | 17/592 [00:13<05:25,  1.77it/s, num_gaussians: 344052 | tracking_loss: 8000.1104 | mapping_loss: 0.0210]
  3%|▎         | 17/592 [00:13<05:25,  1.77it/s, num_gaussians: 352040 | tracking_loss: 7810.7002 | mapping_loss: 0.0619]
  3%|▎         | 18/592 [00:14<05:22,  1.78it/s, num_gaussians: 352040 | tracking_loss: 7810.7002 | mapping_loss: 0.0619]
  3%|▎         | 18/592 [00:14<05:22,  1.78it/s, num_gaussians: 361926 | tracking_loss: 8101.1230 | mapping_loss: 0.0314]
  3%|▎         | 19/592 [00:14<05:23,  1.77it/s, num_gaussians: 361926 | tracking_loss: 8101.1230 | mapping_loss: 0.0314]
  3%|▎         | 19/592 [00:14<05:23,  1.77it/s, num_gaussians: 375125 | tracking_loss: 8046.9644 | mapping_loss: 0.0252]
  3%|▎         | 20/592 [00:15<05:22,  1.78it/s, num_gaussians: 375125 | tracking_loss: 8046.9644 | mapping_loss: 0.0252]
  3%|▎         | 20/592 [00:15<05:22,  1.78it/s, num_gaussians: 388054 | tracking_loss: 8019.2979 | mapping_loss: 0.0428]
  4%|▎         | 21/592 [00:15<05:22,  1.77it/s, num_gaussians: 388054 | tracking_loss: 8019.2979 | mapping_loss: 0.0428]
  4%|▎         | 21/592 [00:15<05:22,  1.77it/s, num_gaussians: 398713 | tracking_loss: 7562.5420 | mapping_loss: 0.0203]
  4%|▎         | 22/592 [00:16<05:22,  1.77it/s, num_gaussians: 398713 | tracking_loss: 7562.5420 | mapping_loss: 0.0203]
  4%|▎         | 22/592 [00:16<05:22,  1.77it/s, num_gaussians: 407894 | tracking_loss: 7186.7368 | mapping_loss: 0.0480]
  4%|▍         | 23/592 [00:16<05:22,  1.76it/s, num_gaussians: 407894 | tracking_loss: 7186.7368 | mapping_loss: 0.0480]
  4%|▍         | 23/592 [00:16<05:22,  1.76it/s, num_gaussians: 417028 | tracking_loss: 6973.3311 | mapping_loss: 0.0439]
  4%|▍         | 24/592 [00:17<05:22,  1.76it/s, num_gaussians: 417028 | tracking_loss: 6973.3311 | mapping_loss: 0.0439]
  4%|▍         | 24/592 [00:17<05:22,  1.76it/s, num_gaussians: 425776 | tracking_loss: 6834.6963 | mapping_loss: 0.0309]
  4%|▍         | 25/592 [00:18<05:22,  1.76it/s, num_gaussians: 425776 | tracking_loss: 6834.6963 | mapping_loss: 0.0309]
  4%|▍         | 25/592 [00:18<05:22,  1.76it/s, num_gaussians: 436782 | tracking_loss: 6813.6992 | mapping_loss: 0.0407]
  4%|▍         | 26/592 [00:18<05:23,  1.75it/s, num_gaussians: 436782 | tracking_loss: 6813.6992 | mapping_loss: 0.0407]
  4%|▍         | 26/592 [00:18<05:23,  1.75it/s, num_gaussians: 447961 | tracking_loss: 14496.2812 | mapping_loss: 0.0276]
  5%|▍         | 27/592 [00:19<05:25,  1.73it/s, num_gaussians: 447961 | tracking_loss: 14496.2812 | mapping_loss: 0.0276]
  5%|▍         | 27/592 [00:19<05:25,  1.73it/s, num_gaussians: 461201 | tracking_loss: 9918.5928 | mapping_loss: 0.0386] 
  5%|▍         | 28/592 [00:19<05:26,  1.73it/s, num_gaussians: 461201 | tracking_loss: 9918.5928 | mapping_loss: 0.0386]
  5%|▍         | 28/592 [00:19<05:26,  1.73it/s, num_gaussians: 473242 | tracking_loss: 9625.5283 | mapping_loss: 0.0265]
  5%|▍         | 29/592 [00:20<05:27,  1.72it/s, num_gaussians: 473242 | tracking_loss: 9625.5283 | mapping_loss: 0.0265]
  5%|▍         | 29/592 [00:20<05:27,  1.72it/s, num_gaussians: 483493 | tracking_loss: 9707.5830 | mapping_loss: 0.0289]
  5%|▌         | 30/592 [00:21<05:28,  1.71it/s, num_gaussians: 483493 | tracking_loss: 9707.5830 | mapping_loss: 0.0289]
  5%|▌         | 30/592 [00:21<05:28,  1.71it/s, num_gaussians: 491949 | tracking_loss: 10968.1689 | mapping_loss: 0.0232]
  5%|▌         | 31/592 [00:21<05:28,  1.71it/s, num_gaussians: 491949 | tracking_loss: 10968.1689 | mapping_loss: 0.0232]
  5%|▌         | 31/592 [00:21<05:28,  1.71it/s, num_gaussians: 499729 | tracking_loss: 8656.6846 | mapping_loss: 0.0491] 
  5%|▌         | 32/592 [00:22<05:27,  1.71it/s, num_gaussians: 499729 | tracking_loss: 8656.6846 | mapping_loss: 0.0491]
  5%|▌         | 32/592 [00:22<05:27,  1.71it/s, num_gaussians: 507880 | tracking_loss: 8022.6245 | mapping_loss: 0.0276]
  6%|▌         | 33/592 [00:22<05:25,  1.72it/s, num_gaussians: 507880 | tracking_loss: 8022.6245 | mapping_loss: 0.0276]
  6%|▌         | 33/592 [00:22<05:25,  1.72it/s, num_gaussians: 513875 | tracking_loss: 8148.0742 | mapping_loss: 0.0349]
  6%|▌         | 34/592 [00:23<05:23,  1.72it/s, num_gaussians: 513875 | tracking_loss: 8148.0742 | mapping_loss: 0.0349]
  6%|▌         | 34/592 [00:23<05:23,  1.72it/s, num_gaussians: 523768 | tracking_loss: 6733.9771 | mapping_loss: 0.0340]
  6%|▌         | 35/592 [00:23<05:21,  1.73it/s, num_gaussians: 523768 | tracking_loss: 6733.9771 | mapping_loss: 0.0340]
  6%|▌         | 35/592 [00:23<05:21,  1.73it/s, num_gaussians: 531878 | tracking_loss: 9487.5527 | mapping_loss: 0.0208]
  6%|▌         | 36/592 [00:24<05:20,  1.73it/s, num_gaussians: 531878 | tracking_loss: 9487.5527 | mapping_loss: 0.0208]
  6%|▌         | 36/592 [00:24<05:20,  1.73it/s, num_gaussians: 537627 | tracking_loss: 9192.3105 | mapping_loss: 0.0281]
  6%|▋         | 37/592 [00:25<05:20,  1.73it/s, num_gaussians: 537627 | tracking_loss: 9192.3105 | mapping_loss: 0.0281]
  6%|▋         | 37/592 [00:25<05:20,  1.73it/s, num_gaussians: 545596 | tracking_loss: 9973.1289 | mapping_loss: 0.0291]
  6%|▋         | 38/592 [00:25<05:20,  1.73it/s, num_gaussians: 545596 | tracking_loss: 9973.1289 | mapping_loss: 0.0291]
  6%|▋         | 38/592 [00:25<05:20,  1.73it/s, num_gaussians: 554107 | tracking_loss: 9654.9844 | mapping_loss: 0.0355]
  7%|▋         | 39/592 [00:26<05:21,  1.72it/s, num_gaussians: 554107 | tracking_loss: 9654.9844 | mapping_loss: 0.0355]
  7%|▋         | 39/592 [00:26<05:21,  1.72it/s, num_gaussians: 565908 | tracking_loss: 8247.9014 | mapping_loss: 0.0377]
  7%|▋         | 40/592 [00:26<05:21,  1.72it/s, num_gaussians: 565908 | tracking_loss: 8247.9014 | mapping_loss: 0.0377]
  7%|▋         | 40/592 [00:26<05:21,  1.72it/s, num_gaussians: 577597 | tracking_loss: 8527.3730 | mapping_loss: 0.0317]
  7%|▋         | 41/592 [00:27<05:21,  1.71it/s, num_gaussians: 577597 | tracking_loss: 8527.3730 | mapping_loss: 0.0317]
  7%|▋         | 41/592 [00:27<05:21,  1.71it/s, num_gaussians: 591060 | tracking_loss: 10892.8506 | mapping_loss: 0.0325]
  7%|▋         | 42/592 [00:28<05:22,  1.70it/s, num_gaussians: 591060 | tracking_loss: 10892.8506 | mapping_loss: 0.0325]
  7%|▋         | 42/592 [00:28<05:22,  1.70it/s, num_gaussians: 603275 | tracking_loss: 10385.5781 | mapping_loss: 0.0442]
  7%|▋         | 43/592 [00:28<05:24,  1.69it/s, num_gaussians: 603275 | tracking_loss: 10385.5781 | mapping_loss: 0.0442]
  7%|▋         | 43/592 [00:28<05:24,  1.69it/s, num_gaussians: 614150 | tracking_loss: 14471.5449 | mapping_loss: 0.0366]
  7%|▋         | 44/592 [00:29<05:25,  1.68it/s, num_gaussians: 614150 | tracking_loss: 14471.5449 | mapping_loss: 0.0366]
  7%|▋         | 44/592 [00:29<05:25,  1.68it/s, num_gaussians: 622145 | tracking_loss: 16772.3418 | mapping_loss: 0.0561]
  8%|▊         | 45/592 [00:29<05:25,  1.68it/s, num_gaussians: 622145 | tracking_loss: 16772.3418 | mapping_loss: 0.0561]
  8%|▊         | 45/592 [00:29<05:25,  1.68it/s, num_gaussians: 625577 | tracking_loss: 14027.4395 | mapping_loss: 0.0426]
  8%|▊         | 46/592 [00:30<05:25,  1.68it/s, num_gaussians: 625577 | tracking_loss: 14027.4395 | mapping_loss: 0.0426]
  8%|▊         | 46/592 [00:30<05:25,  1.68it/s, num_gaussians: 629552 | tracking_loss: 14410.2305 | mapping_loss: 0.0497]
  8%|▊         | 47/592 [00:31<05:25,  1.67it/s, num_gaussians: 629552 | tracking_loss: 14410.2305 | mapping_loss: 0.0497]
  8%|▊         | 47/592 [00:31<05:25,  1.67it/s, num_gaussians: 633065 | tracking_loss: 13776.9590 | mapping_loss: 0.0388]
  8%|▊         | 48/592 [00:31<05:26,  1.67it/s, num_gaussians: 633065 | tracking_loss: 13776.9590 | mapping_loss: 0.0388]
  8%|▊         | 48/592 [00:31<05:26,  1.67it/s, num_gaussians: 635994 | tracking_loss: 13062.1992 | mapping_loss: 0.0412]
  8%|▊         | 49/592 [00:32<05:28,  1.65it/s, num_gaussians: 635994 | tracking_loss: 13062.1992 | mapping_loss: 0.0412]
  8%|▊         | 49/592 [00:32<05:28,  1.65it/s, num_gaussians: 640067 | tracking_loss: 21366.8945 | mapping_loss: 0.0384]
  8%|▊         | 50/592 [00:32<05:29,  1.65it/s, num_gaussians: 640067 | tracking_loss: 21366.8945 | mapping_loss: 0.0384]
  8%|▊         | 50/592 [00:32<05:29,  1.65it/s, num_gaussians: 643312 | tracking_loss: 19701.5234 | mapping_loss: 0.0542]
  9%|▊         | 51/592 [00:33<05:29,  1.64it/s, num_gaussians: 643312 | tracking_loss: 19701.5234 | mapping_loss: 0.0542]
  9%|▊         | 51/592 [00:33<05:29,  1.64it/s, num_gaussians: 645004 | tracking_loss: 16613.2344 | mapping_loss: 0.0443]
  9%|▉         | 52/592 [00:34<05:29,  1.64it/s, num_gaussians: 645004 | tracking_loss: 16613.2344 | mapping_loss: 0.0443]
  9%|▉         | 52/592 [00:34<05:29,  1.64it/s, num_gaussians: 647297 | tracking_loss: 14402.9023 | mapping_loss: 0.0432]
